Bloco,Linha,Conservador,Realista,Otimista,Observacao
PREMISSAS,Diaria media efetiva R$,130,165,200,Calibrado pelo historico real 2022-2025
PREMISSAS,Ocupacao %,60,70,80,Historico + meta de reposicionamento
PREMISSAS,Noites ocupadas/mes,18,21,24,= 30 x ocupacao
PREMISSAS,Taxa Airbnb anfitriao %,3,3,3,Modelo host-only confirmado no extrato
PREMISSAS,Consumiveis+diarista liq./mes R$,150,200,250,Liquido da taxa de limpeza cobrada
PREMISSAS,Fundo manutencao % receita,5,5,5,CAPEX recorrente
RECEITA,Receita hospedagem (ADR x noites) R$,2340,3465,4800,Calculado
RECEITA,(-) Taxa Airbnb ~3% R$,-70,-104,-144,
RECEITA,= Receita apos plataforma R$,2270,3361,4656,
CUSTOS FIXOS,Condominio R$,-380,-380,-380,Real
CUSTOS FIXOS,Luz R$,-80,-80,-80,Real (60-100)
CUSTOS FIXOS,Internet R$,-110,-110,-110,Real
CUSTOS FIXOS,IPTU mensalizado R$,-90,-90,-90,Real
CUSTOS FIXOS,Subtotal fixo R$,-660,-660,-660,
CUSTOS VARIAVEIS,Diarista liq.+consumiveis R$,-150,-200,-250,
CUSTOS VARIAVEIS,Fundo de manutencao R$,-117,-173,-240,5% da receita
RESULTADO,= Liquido ao dono (NOI) R$,1343,2328,3506,Calculado
COMPARACAO,Inquilino fixo liquido R$,1840,2340,2500,Depende de quem paga condominio/IPTU
COMPARACAO,Vantagem Airbnb vs fixo R$,-497,-12,1006,Negativo = fixo ganha
ALOCACAO,Fundo aquisicao 2o imovel (50%) R$,672,1164,1753,
META AQUISICAO,Valor alvo 2o imovel R$,350000,350000,350000,Ajustar
META AQUISICAO,Entrada+custos (~23%) R$,80000,80000,80000,
META AQUISICAO,Meses para formar entrada,119,69,46,So com os 50% - ver alavanca de home equity na Fase 6
META AQUISICAO,Anos aprox,10,5.7,3.8,
